"","Week.ended","lwr","50%","upr","fit"
"601",2021-07-09,32883.1772143337,34652.1252296288,36383.6585315087,34632.6098778278
"602",2021-07-16,33349.6576249883,35122.8952662873,36870.6806476238,35096.8617832277
"603",2021-07-23,33788.1553786535,35595.8050826381,37361.1541643139,35567.5258648875
"604",2021-07-30,34200.7761700735,36056.1665935613,37847.9905035668,36023.0296336262
"605",2021-08-06,34631.980750529,36514.998483087,38340.4123216798,36480.5660588983
"606",2021-08-13,35058.7749394298,36983.5082661903,38845.3499299177,36946.0526100869
"607",2021-08-20,35439.979566598,37417.5518187123,39308.4854335597,37371.1313393867
"608",2021-08-27,35832.994616052,37857.6678004341,39791.848679473,37814.4798532085
"609",2021-09-03,36262.8841727739,38324.3714206764,40307.7182451384,38285.3475029787
"610",2021-09-10,36715.5103673689,38791.7942039329,40792.0485587975,38749.2480853347
"611",2021-09-17,37160.0361929539,39256.0095448229,41285.4035263576,39214.957957281
"612",2021-09-24,37591.8227008544,39735.9905791257,41784.5416494314,39683.7520931575
"613",2021-10-01,38055.0274863929,40223.7027133241,42320.5366102988,40173.6964023775
"614",2021-10-08,38511.0211305777,40698.522588772,42817.6035690827,40648.8702958642
"615",2021-10-15,38937.8858831833,41167.5488129052,43327.2659317,41115.4833562629
"616",2021-10-22,39397.8547945053,41660.7288190655,43839.2898919108,41605.8085380075
"617",2021-10-29,39850.2280904851,42165.751422311,44379.2586260583,42101.4793738451
"618",2021-11-05,40315.2075661008,42665.677239411,44903.2898390164,42601.5127675858
"619",2021-11-12,40738.2795072305,43157.3281985313,45416.4287827549,43088.6005486338
"620",2021-11-19,41197.7663152149,43662.6977482371,45977.1006005889,43589.6702788878
"621",2021-11-26,41656.6305776793,44154.3046577372,46512.6569492255,44086.5582284094
"622",2021-12-03,42148.6596638086,44675.1318136504,47064.6663213303,44599.4246580857
"623",2021-12-10,42654.9599037425,45199.5381615113,47627.5352876596,45131.6171116773
"624",2021-12-17,43108.8773576771,45691.5423801008,48141.2355997994,45617.213135017
"625",2021-12-24,43552.871752967,46175.83141397,48663.9611083966,46099.553047499
"626",2021-12-31,44057.6801356883,46725.6862803635,49245.199796254,46643.3432049985
"627",2022-01-07,44581.2851376142,47281.8425764597,49839.3713311242,47209.8325993333
"628",2022-01-14,45085.1814480639,47824.5917294527,50413.3377761468,47748.9610563896
"629",2022-01-21,45583.1749500966,48363.6965866763,50995.9464541775,48295.782094086
"630",2022-01-28,46070.090928901,48879.9650781398,51541.6872539688,48815.3883640909
"631",2022-02-04,46551.2664012705,49401.1108510337,52098.7810896146,49343.1946917196
"632",2022-02-11,47042.1377671829,49911.515619443,52645.2487123145,49865.7080311202
"633",2022-02-18,47546.3598027164,50455.8525948868,53205.3252637457,50398.5745278584
"634",2022-02-25,48022.5978713746,50965.3633948367,53748.9833310559,50912.2993386307
