"","Week.ended","signal","Male.Under.1.year","fit","upr","lwr"
"393",2017-07-14,27.8561731638986,30,NA,NA,NA
"394",2017-07-21,33.6331017992883,31,NA,NA,NA
"395",2017-07-28,27.4120641261152,20,NA,NA,NA
"396",2017-08-04,29.9967512036332,27,NA,NA,NA
"397",2017-08-11,27.2837528393142,26,NA,NA,NA
"398",2017-08-18,29.8717459889413,27,NA,NA,NA
"399",2017-08-25,26.6619571482294,29,NA,NA,NA
"400",2017-09-01,26.1503625065683,26,NA,NA,NA
"401",2017-09-08,29.6388839982608,34,NA,NA,NA
"402",2017-09-15,28.6240371567305,23,NA,NA,NA
"403",2017-09-22,30.5135340728972,29,NA,NA,NA
"404",2017-09-29,28.9041999758788,21,NA,NA,NA
"405",2017-10-06,28.1009707335276,38,NA,NA,NA
"406",2017-10-13,29.5900959185434,27,NA,NA,NA
"407",2017-10-20,27.681221579155,30,NA,NA,NA
"408",2017-10-27,28.9705563178129,34,NA,NA,NA
"409",2017-11-03,28.2560065364901,30,NA,NA,NA
"410",2017-11-10,29.7401097717064,26,NA,NA,NA
"411",2017-11-17,28.2271017023847,26,NA,NA,NA
"412",2017-11-24,27.2158137479716,24,NA,NA,NA
"413",2017-12-01,32.6070095459474,33,NA,NA,NA
"414",2017-12-08,28.4979018154678,38,NA,NA,NA
"415",2017-12-15,31.9814550843772,23,NA,NA,NA
"416",2017-12-22,23.3219452321815,25,NA,NA,NA
"417",2017-12-29,21.6740391528134,23.5,NA,NA,NA
"418",2018-01-05,29.4345502265742,23.5,NA,NA,NA
"419",2018-01-12,29.0178267027832,42,NA,NA,NA
"420",2018-01-19,31.1819854131047,33,NA,NA,NA
"421",2018-01-26,27.7083763329586,26,NA,NA,NA
"422",2018-02-02,29.7815412726302,24,NA,NA,NA
"423",2018-02-09,29.3137170737616,26,NA,NA,NA
"424",2018-02-16,29.8484522434824,24,NA,NA,NA
"425",2018-02-23,28.4786135901031,18,NA,NA,NA
"426",2018-03-02,26.2077772455775,25,NA,NA,NA
"427",2018-03-09,28.9261016596329,26,NA,NA,NA
"428",2018-03-16,29.431185413169,25,NA,NA,NA
"429",2018-03-23,28.7396916184438,35,NA,NA,NA
"430",2018-03-30,26.543362638253,21,NA,NA,NA
"431",2018-04-06,30.6513151063269,28,NA,NA,NA
"432",2018-04-13,27.2613153329921,19,NA,NA,NA
"433",2018-04-20,29.5776962344405,29,NA,NA,NA
"434",2018-04-27,28.0945233229243,32,NA,NA,NA
