"","Week.ended","signal","Female.15.44","fit","upr","lwr"
"359",2016-11-18,98.8364549570362,105,NA,NA,NA
"360",2016-11-25,103.744813000439,110,NA,NA,NA
"361",2016-12-02,106.646340321487,120,NA,NA,NA
"362",2016-12-09,107.133285322023,108,NA,NA,NA
"363",2016-12-16,112.819283862074,101,NA,NA,NA
"364",2016-12-23,99.3181891699798,121,NA,NA,NA
"365",2016-12-30,82.3751624493514,75.5,NA,NA,NA
"366",2017-01-06,99.6306260323029,75.5,NA,NA,NA
"367",2017-01-13,109.503349574122,88,NA,NA,NA
"368",2017-01-20,106.899554973581,118,NA,NA,NA
"369",2017-01-27,104.283638583876,97,NA,NA,NA
"370",2017-02-03,105.130221449763,99,NA,NA,NA
"371",2017-02-10,109.983498574462,97,NA,NA,NA
"372",2017-02-17,108.123681073034,119,NA,NA,NA
"373",2017-02-24,106.251986530225,113,NA,NA,NA
"374",2017-03-03,104.282014003065,101,NA,NA,NA
"375",2017-03-10,104.438627503465,105,NA,NA,NA
"376",2017-03-17,103.071625942124,103,NA,NA,NA
"377",2017-03-24,91.7047025969761,94,NA,NA,NA
"378",2017-03-31,98.1352727657259,111,NA,NA,NA
"379",2017-04-07,103.051794532739,91,NA,NA,NA
"380",2017-04-14,101.081476971422,90,NA,NA,NA
"381",2017-04-21,103.523260485976,108,NA,NA,NA
"382",2017-04-28,105.660155359363,106,NA,NA,NA
"383",2017-05-05,96.2966791192433,101,NA,NA,NA
"384",2017-05-12,104.128066808997,131,NA,NA,NA
"385",2017-05-19,104.430110097891,99,NA,NA,NA
"386",2017-05-26,100.538083117494,115,NA,NA,NA
"387",2017-06-02,96.0302635894144,82,NA,NA,NA
"388",2017-06-09,101.137765239608,105,NA,NA,NA
"389",2017-06-16,97.441049293537,87,NA,NA,NA
"390",2017-06-23,101.155735070361,106,NA,NA,NA
"391",2017-06-30,94.1651308648463,109,NA,NA,NA
"392",2017-07-07,96.4583268443233,111,NA,NA,NA
"393",2017-07-14,103.235643181528,112,NA,NA,NA
"394",2017-07-21,96.5033887596087,107,NA,NA,NA
"395",2017-07-28,104.059671940633,110,NA,NA,NA
"396",2017-08-04,93.3094682281931,99,NA,NA,NA
"397",2017-08-11,96.2530504021555,78,NA,NA,NA
"398",2017-08-18,94.1165650768467,97,NA,NA,NA
"399",2017-08-25,90.4769310137962,104,NA,NA,NA
