"","Week.ended","signal","West.Midlands","fit","upr","lwr"
"343",2016-07-29,919.346285045031,923,NA,NA,NA
"344",2016-08-05,947.898002233078,983,NA,NA,NA
"345",2016-08-12,937.137748811551,941,NA,NA,NA
"346",2016-08-19,943.010160640882,951,NA,NA,NA
"347",2016-08-26,896.943277068982,1039,NA,NA,NA
"348",2016-09-02,880.79976695567,764,NA,NA,NA
"349",2016-09-09,956.092551900453,974,NA,NA,NA
"350",2016-09-16,943.573137180635,898,NA,NA,NA
"351",2016-09-23,947.748247625052,892,NA,NA,NA
"352",2016-09-30,965.595276799233,971,NA,NA,NA
"353",2016-10-07,981.048079662593,938,NA,NA,NA
"354",2016-10-14,976.351385666174,966,NA,NA,NA
"355",2016-10-21,1008.13515842946,977,NA,NA,NA
"356",2016-10-28,1008.96174365629,966,NA,NA,NA
"357",2016-11-04,1001.13732683554,1013,NA,NA,NA
"358",2016-11-11,1057.30609536636,1045,NA,NA,NA
"359",2016-11-18,1051.08940919836,1117,NA,NA,NA
"360",2016-11-25,1062.62363332048,1090,NA,NA,NA
"361",2016-12-02,1085.28057600934,1076,NA,NA,NA
"362",2016-12-09,1107.19931688971,1164,NA,NA,NA
"363",2016-12-16,1147.92779080871,1098,NA,NA,NA
"364",2016-12-23,1007.8267092186,1149,NA,NA,NA
"365",2016-12-30,1049.90685522572,715,NA,NA,NA
"366",2017-01-06,1371.09242864562,1243,NA,NA,NA
"367",2017-01-13,1329.42026506242,1439,NA,NA,NA
"368",2017-01-20,1285.47404458534,1414,NA,NA,NA
"369",2017-01-27,1255.74163933989,1362,NA,NA,NA
"370",2017-02-03,1228.33853681042,1293,NA,NA,NA
"371",2017-02-10,1197.71721285565,1234,NA,NA,NA
"372",2017-02-17,1172.91787778379,1243,NA,NA,NA
"373",2017-02-24,1168.16945351318,1216,NA,NA,NA
"374",2017-03-03,1177.49623916051,1184,NA,NA,NA
"375",2017-03-10,1164.14047312639,1163,NA,NA,NA
"376",2017-03-17,1128.63739121563,1140,NA,NA,NA
"377",2017-03-24,1043.03621281276,1034,NA,NA,NA
"378",2017-03-31,1023.69257235687,1024,NA,NA,NA
"379",2017-04-07,1096.9435721866,1048,NA,NA,NA
"380",2017-04-14,1097.14785757304,868,NA,NA,NA
"381",2017-04-21,1044.24712224846,978,NA,NA,NA
"382",2017-04-28,1061.10134374582,1125,NA,NA,NA
"383",2017-05-05,990.141551736651,902,NA,NA,NA
"384",2017-05-12,1029.71842551793,1059,NA,NA,NA
"385",2017-05-19,1050.68480234392,1079,NA,NA,NA
"386",2017-05-26,957.057530093712,1088,NA,NA,NA
"387",2017-06-02,927.247397943071,849,NA,NA,NA
"388",2017-06-09,1043.80143623465,1060,NA,NA,NA
"389",2017-06-16,986.973067667019,1016,NA,NA,NA
"390",2017-06-23,975.738641592578,991,NA,NA,NA
"391",2017-06-30,984.638147960686,996,NA,NA,NA
"392",2017-07-07,967.439571029816,985,NA,NA,NA
"393",2017-07-14,968.234844389386,973,NA,NA,NA
"394",2017-07-21,951.747041702889,947,NA,NA,NA
"395",2017-07-28,937.341999263366,941,NA,NA,NA
"396",2017-08-04,965.173182990928,911,NA,NA,NA
"397",2017-08-11,955.2488256646,943,NA,NA,NA
"398",2017-08-18,962.238015195586,936,NA,NA,NA
"399",2017-08-25,917.884640062873,966,NA,NA,NA
"400",2017-09-01,905.09241848198,780,NA,NA,NA
"401",2017-09-08,983.881066608273,1017,NA,NA,NA
"402",2017-09-15,974.592317003788,1001,NA,NA,NA
"403",2017-09-22,980.743174063067,978,NA,NA,NA
"404",2017-09-29,999.641855805001,990,NA,NA,NA
"405",2017-10-06,1016.40863431491,1003,NA,NA,NA
"406",2017-10-13,1012.5091798648,1001,NA,NA,NA
"407",2017-10-20,1045.11037723696,997,NA,NA,NA
"408",2017-10-27,1047.05033418857,1058,NA,NA,NA
"409",2017-11-03,1039.39939392385,1014,NA,NA,NA
"410",2017-11-10,1096.3912684153,1117,NA,NA,NA
"411",2017-11-17,1090.42384888268,1096,NA,NA,NA
"412",2017-11-24,1103.25921435333,1080,NA,NA,NA
"413",2017-12-01,1128.10008254438,1065,NA,NA,NA
"414",2017-12-08,1153.14104185375,1066,NA,NA,NA
"415",2017-12-15,1199.50122399643,1128,NA,NA,NA
"416",2017-12-22,1065.40796332723,1318,NA,NA,NA
"417",2017-12-29,1111.55344828334,844,NA,NA,NA
"418",2018-01-05,1435.6301167879,1313,NA,NA,NA
"419",2018-01-12,1396.753817974,1468,NA,NA,NA
"420",2018-01-19,1356.27177202733,1544,NA,NA,NA
"421",2018-01-26,1328.97140487762,1433,NA,NA,NA
"422",2018-02-02,1304.03921432748,1441,NA,NA,NA
"423",2018-02-09,1274.62833106078,1335,NA,NA,NA
"424",2018-02-16,1250.61946947813,1285,NA,NA,NA
"425",2018-02-23,1247.28394266751,1251,NA,NA,NA
"426",2018-03-02,1258.79272077044,1308,NA,NA,NA
"427",2018-03-09,1246.87445115629,1390,NA,NA,NA
"428",2018-03-16,1210.29372205483,1343,NA,NA,NA
"429",2018-03-23,1121.49938270398,1263,NA,NA,NA
"430",2018-03-30,1096.33811199506,1019,NA,NA,NA
"431",2018-04-06,1165.12515917549,1054,NA,NA,NA
"432",2018-04-13,1161.94956991714,1228,NA,NA,NA
"433",2018-04-20,1100.52245298139,1170,NA,NA,NA
"434",2018-04-27,1106.48405977918,969,NA,NA,NA
"435",2018-05-04,1028.14257299888,1113,NA,NA,NA
"436",2018-05-11,1057.32167608149,823,NA,NA,NA
"437",2018-05-18,1072.48595915584,1105,NA,NA,NA
"438",2018-05-25,972.983390237117,983,NA,NA,NA
"439",2018-06-01,939.406191064492,859,NA,NA,NA
"440",2018-06-08,1052.23079887977,1065,NA,NA,NA
"441",2018-06-15,991.732787576759,967,NA,NA,NA
"442",2018-06-22,977.765969369655,971,NA,NA,NA
"443",2018-06-29,984.317109531388,954,NA,NA,NA
"444",2018-07-06,965.496800236699,998,NA,NA,NA
"445",2018-07-13,964.409827953072,961,NA,NA,NA
"446",2018-07-20,946.182302841227,949,NA,NA,NA
"447",2018-07-27,929.905653806028,897,NA,NA,NA
"448",2018-08-03,956.50268417084,961,NA,NA,NA
"449",2018-08-10,944.321308026487,946,NA,NA,NA
"450",2018-08-17,948.810665452426,910,NA,NA,NA
"451",2018-08-24,902.176650651882,983,NA,NA,NA
"452",2018-08-31,886.533556097615,793,NA,NA,NA
"453",2018-09-07,961.921131903507,1005,NA,NA,NA
"454",2018-09-14,949.057667801528,956,NA,NA,NA
"455",2018-09-21,951.973170609195,947,NA,NA,NA
"456",2018-09-28,967.675376010535,965,NA,NA,NA
"457",2018-10-05,981.124224098671,1020,NA,NA,NA
"458",2018-10-12,972.995309273314,980,NA,NA,NA
"459",2018-10-19,1001.04427419479,979,NA,NA,NA
"460",2018-10-26,997.977560487559,1079,NA,NA,NA
"461",2018-11-02,984.098296075182,890,NA,NA,NA
"462",2018-11-09,1036.05954773802,1081,NA,NA,NA
"463",2018-11-16,1024.63730450841,1047,NA,NA,NA
"464",2018-11-23,1031.72518852903,1001,NA,NA,NA
"465",2018-11-30,1050.94873757016,1076,NA,NA,NA
"466",2018-12-07,1068.83554120317,1098,NA,NA,NA
"467",2018-12-14,1106.0138896837,1034,NA,NA,NA
"468",2018-12-21,962.747733200712,1145,NA,NA,NA
"469",2018-12-28,1000.94663066121,660,NA,NA,NA
"470",2019-01-04,1318.35625338903,1180,NA,NA,NA
"471",2019-01-11,1273.08707933039,1299,NA,NA,NA
"472",2019-01-18,1227.00250129183,1187,NA,NA,NA
"473",2019-01-25,1198.06987502817,1131,NA,NA,NA
"474",2019-02-01,1174.48836769604,1150,NA,NA,NA
"475",2019-02-08,1149.24288313613,1241,NA,NA,NA
"476",2019-02-15,1128.85224423269,1231,NA,NA,NA
"477",2019-02-22,1127.95348170061,1143,NA,NA,NA
"478",2019-03-01,1141.70148805717,1188,NA,NA,NA
"479",2019-03-08,1132.07315834281,1150,NA,NA,NA
"480",2019-03-15,1099.96509189279,1092,NA,NA,NA
