"","Week.ended","signal","All.15.44","fit","upr","lwr"
"427",2018-03-09,293.19094919003,287,NA,NA,NA
"428",2018-03-16,300.889673401001,329,NA,NA,NA
"429",2018-03-23,263.928772635797,278,NA,NA,NA
"430",2018-03-30,277.738025308923,261,NA,NA,NA
"431",2018-04-06,290.982781104247,260,NA,NA,NA
"432",2018-04-13,288.393254655596,337,NA,NA,NA
"433",2018-04-20,291.300628158537,301,NA,NA,NA
"434",2018-04-27,302.387428267822,340,NA,NA,NA
"435",2018-05-04,286.19444813387,308,NA,NA,NA
"436",2018-05-11,296.65521611786,247,NA,NA,NA
"437",2018-05-18,302.621308067675,300,NA,NA,NA
"438",2018-05-25,268.492960089178,294,NA,NA,NA
"439",2018-06-01,263.610508980942,250,NA,NA,NA
"440",2018-06-08,288.356927201949,298,NA,NA,NA
"441",2018-06-15,287.482891445525,286,NA,NA,NA
"442",2018-06-22,292.812001058715,308,NA,NA,NA
"443",2018-06-29,285.008895319593,306,NA,NA,NA
"444",2018-07-06,278.56126522704,286,NA,NA,NA
"445",2018-07-13,285.997856791179,304,NA,NA,NA
"446",2018-07-20,283.496263905337,304,NA,NA,NA
"447",2018-07-27,295.651180426393,291,NA,NA,NA
"448",2018-08-03,274.715962593126,286,NA,NA,NA
"449",2018-08-10,281.356810122913,328,NA,NA,NA
"450",2018-08-17,278.098722513139,253,NA,NA,NA
"451",2018-08-24,258.693871948713,250,NA,NA,NA
"452",2018-08-31,248.807462006311,233,NA,NA,NA
"453",2018-09-07,284.754581362911,323,NA,NA,NA
"454",2018-09-14,288.820578141051,275,NA,NA,NA
"455",2018-09-21,283.015889827341,292,NA,NA,NA
"456",2018-09-28,280.192145265634,270,NA,NA,NA
"457",2018-10-05,293.590019322143,287,NA,NA,NA
"458",2018-10-12,280.801871506712,328,NA,NA,NA
"459",2018-10-19,294.913611468216,301,NA,NA,NA
"460",2018-10-26,291.412441555837,309,NA,NA,NA
"461",2018-11-02,292.873966571619,289,NA,NA,NA
"462",2018-11-09,303.043708680279,308,NA,NA,NA
"463",2018-11-16,301.802937970781,292,NA,NA,NA
"464",2018-11-23,299.582960329659,312,NA,NA,NA
"465",2018-11-30,313.536644833943,317,NA,NA,NA
"466",2018-12-07,312.682983195572,326,NA,NA,NA
"467",2018-12-14,322.601074755911,295,NA,NA,NA
"468",2018-12-21,256.877711115397,333,NA,NA,NA
"469",2018-12-28,200.071364629679,166,NA,NA,NA
"470",2019-01-04,270.676988348932,215,NA,NA,NA
"471",2019-01-11,306.582527031703,280,NA,NA,NA
"472",2019-01-18,308.271722793431,319,NA,NA,NA
"473",2019-01-25,304.483617289841,339,NA,NA,NA
"474",2019-02-01,304.531389796534,307,NA,NA,NA
"475",2019-02-08,307.028471574405,267,NA,NA,NA
"476",2019-02-15,302.428639792806,305,NA,NA,NA
"477",2019-02-22,295.186990247851,276,NA,NA,NA
"478",2019-03-01,294.895129247867,288,NA,NA,NA
"479",2019-03-08,292.544708365392,303,NA,NA,NA
"480",2019-03-15,299.818023157126,299,NA,NA,NA
"481",2019-03-22,262.493073062506,293,NA,NA,NA
"482",2019-03-29,275.903414548882,289,NA,NA,NA
"483",2019-04-05,288.685976792183,296,NA,NA,NA
"484",2019-04-12,285.553025218598,288,NA,NA,NA
"485",2019-04-19,288.014883352664,251,NA,NA,NA
"486",2019-04-26,298.755253969691,273,NA,NA,NA
"487",2019-05-03,282.350254204727,297,NA,NA,NA
"488",2019-05-10,292.614180779309,262,NA,NA,NA
"489",2019-05-17,298.343043269638,304,NA,NA,NA
"490",2019-05-24,263.95990675636,309,NA,NA,NA
"491",2019-05-31,258.78123544105,239,NA,NA,NA
"492",2019-06-07,283.244522218536,306,NA,NA,NA
"493",2019-06-14,282.059542220613,298,NA,NA,NA
"494",2019-06-21,287.040750825588,279,NA,NA,NA
"495",2019-06-28,278.939014713602,273,NA,NA,NA
